sample_id,Staphylococcus_epidermidis,Streptococcus_oralis,Corynebacterium_striatum,Cutibacterium_acnes,Rothia_dentocariosa,Neisseria_sicca,Micrococcus_luteus,Streptococcus_mitis,Haemophilus_parainfluenzae,Lactobacillus_gasseri,Clostridium_perfringens,Clostridium_difficile,Bacteroides_fragilis,Parvimonas_micra,Peptostreptococcus_anaerobius,Escherichia_coli,Klebsiella_pneumoniae,Proteus_mirabilis,Morganella_morganii,Enterococcus_faecalis,Wohlfahrtiimonas_chitiniclastica,Ignatzschineria_larvae,Fusobacterium_nucleatum,Prevotella_melaninogenica,Acinetobacter_baumannii,Pseudomonas_fluorescens,Pseudomonas_putida,Bacillus_subtilis,Bacillus_cereus,Flavobacterium_succinicans,Sphingobacterium_multivorum,Chryseobacterium_gleum,Streptomyces_albus,Nocardia_asteroides,Planococcus_halocryophilus,Pedobacter_heparinus,Cellulomonas_flavigena,Arthrobacter_globiformis,Burkholderia_cepacia,Rhizobium_radiobacter,Brevibacterium_casei,Corynebacterium_jeikeium,Streptococcus_constellatus,Propionibacterium_avidum,Serratia_marcescens,Staphylococcus_aureus,Treponema_denticola,Campylobacter_rectus,Filifactor_alocis,Prevotella_intermedia
SAMP_0011,3583,2779,2105,2415,1562,836,1331,1179,735,791,848,395,103,157,136,460,219,92,73,318,123,108,184,93,12,11,4,10,11,2,1,1,0,0,1,1,0,0,2,0,1501,1186,675,923,0,0,0,0,0,0
SAMP_0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,1444,1515,921,1387,641,1205,886,818,951,456,1005,463,822,541,534,479,604,284,390,0,0,0,0,0,0
SAMP_0013,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,19,93,2,452,241,0,0,3701,2619,2496,1512,2459,1900,1855,958,1054,518,791,1159,311,1081,857,236,717,947,562,947,0,0,0,0,0,0
SAMP_0014,2055,1427,2184,1858,570,462,1144,762,217,433,1808,1099,1206,515,631,1512,677,600,821,728,429,543,1287,731,40,14,5,30,27,4,4,1,4,0,2,3,1,2,3,0,807,1365,637,692,0,0,0,0,0,0
SAMP_0015,989,1217,2017,642,349,403,522,709,116,345,1385,733,311,227,198,889,485,243,193,558,61,206,491,321,44,14,15,11,11,7,1,1,2,0,0,4,0,1,1,0,800,735,501,536,0,0,0,0,0,0
SAMP_0016,4329,2784,3423,1831,1530,475,1279,1525,240,794,2993,1185,828,467,705,1826,1160,588,355,631,253,501,981,541,83,26,10,31,15,5,7,1,1,0,2,9,0,2,0,0,964,883,569,899,0,0,0,0,0,0
SAMP_0017,1197,671,2054,967,257,124,309,426,84,140,2608,1333,1678,991,1132,1781,1954,801,514,2693,629,894,1550,838,98,31,17,27,67,9,3,2,0,2,5,5,0,2,10,0,1225,1217,824,924,0,0,0,0,0,0
SAMP_0018,14,19,26,3,3,1,2,5,2,0,1021,1097,1139,695,524,861,551,1673,765,889,535,1290,301,518,129,54,43,66,63,13,1,2,1,1,6,5,0,8,12,1,473,343,309,282,0,0,0,0,0,0
SAMP_0019,138,56,345,91,21,21,49,43,18,29,2458,2443,1925,1169,1288,2612,1718,1449,1211,1418,944,1346,737,1397,121,67,35,48,63,14,9,6,4,0,7,4,1,2,9,1,509,617,450,338,0,0,0,0,0,0
SAMP_0020,714,514,630,297,156,93,213,160,62,121,2523,1593,1285,1015,550,1588,998,921,470,967,479,743,1377,797,79,36,14,23,25,5,3,5,3,0,5,6,1,2,0,0,950,743,570,492,0,0,0,0,0,0
SAMP_0021,1,1,3,0,0,0,0,0,1,0,523,757,1718,162,414,268,180,1859,1418,505,2352,1637,17,115,1444,701,224,629,1209,139,117,83,46,32,87,229,15,77,148,9,609,1419,905,903,0,0,0,0,0,49
SAMP_0022,2782,1460,2032,1486,949,495,998,807,313,482,1367,616,381,383,231,1699,716,196,249,498,176,240,735,465,27,13,5,15,25,7,1,0,0,0,1,1,0,5,4,0,612,685,1204,748,0,0,0,0,0,0
SAMP_0023,1659,1229,942,1199,419,149,701,315,89,333,2610,2305,899,703,628,1526,870,607,480,1367,238,512,1088,841,72,11,8,22,18,8,2,2,2,0,2,6,1,1,7,2,784,888,528,516,0,0,0,0,0,0
SAMP_0024,126,40,233,143,12,11,61,23,6,17,1810,1563,1254,1263,875,1438,1137,533,499,1635,766,775,768,777,140,34,19,23,73,5,6,4,2,1,2,9,0,3,7,0,581,443,358,460,0,0,0,0,0,0
SAMP_0025,34,46,117,63,6,5,22,5,5,4,1962,1319,1148,996,811,705,964,771,574,1208,541,676,938,434,119,71,25,42,76,5,9,1,2,1,3,9,3,2,7,1,364,413,218,231,0,0,0,0,0,0
SAMP_0026,0,0,0,0,0,0,0,0,0,0,1,30,10,0,0,0,0,33,53,4,425,242,0,0,1465,2385,866,542,1190,763,389,295,417,118,291,401,143,218,569,75,575,758,371,409,0,0,0,0,0,0
SAMP_0027,6278,3558,7782,4299,1530,1503,2381,2017,601,859,5697,1777,1071,1248,817,3698,1947,1393,616,2001,366,857,2136,1105,99,50,15,60,79,7,5,0,2,0,2,13,0,1,5,2,2802,2580,2621,1248,0,0,0,0,0,0
SAMP_0028,38,17,58,22,0,0,8,4,3,1,4461,2251,3760,1483,2223,1740,1058,2947,2498,2869,1945,2108,939,826,544,226,102,192,185,25,26,16,13,8,10,33,1,7,20,3,729,794,714,541,0,0,0,0,0,0
SAMP_0029,7,3,9,2,0,0,2,0,0,0,1966,3241,2816,1211,802,814,658,2097,2193,1673,2659,4874,129,499,1246,433,223,560,566,183,69,59,24,19,26,52,6,35,144,3,840,677,744,727,0,0,0,62,0,0
SAMP_0030,1705,1822,1740,1256,582,907,902,797,361,507,850,391,89,47,71,291,162,58,73,144,73,75,129,74,11,5,3,6,8,0,3,0,0,0,1,1,0,0,0,0,713,739,388,379,0,0,0,0,0,0
SAMP_0031,2,2,3,4,0,0,2,0,0,1,1987,2592,2037,260,915,445,300,973,1474,1436,1368,2804,71,227,1367,586,184,443,493,74,114,57,51,18,35,71,7,45,115,7,501,579,486,1018,0,0,0,0,0,0
SAMP_0032,2283,1301,2880,2372,852,850,986,875,343,468,2797,1119,1105,930,765,1922,1455,529,532,1046,522,500,1126,780,55,43,17,24,41,5,3,1,2,0,1,1,0,1,2,0,756,1225,1461,1202,0,0,0,0,0,0
SAMP_0033,2342,2449,3667,2324,1576,980,1388,2542,760,671,1533,828,232,122,344,980,359,182,108,340,95,70,378,336,16,11,9,10,11,2,0,0,2,0,0,3,1,2,3,0,788,1767,452,765,0,0,0,0,0,0
SAMP_0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,1327,1140,783,876,517,570,655,812,853,396,709,390,721,389,562,304,406,184,238,0,0,0,0,0,0
SAMP_0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,1944,1693,1125,925,682,918,937,1034,1105,587,916,465,600,674,704,358,614,269,260,0,0,0,0,0,0
SAMP_0036,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,5,15,0,163,99,0,0,2219,1315,1294,1109,1058,1002,1218,641,612,580,416,900,376,634,501,238,540,563,426,423,0,0,0,0,0,0
SAMP_0037,1124,777,959,893,237,189,324,306,158,259,1924,1116,539,470,530,1049,764,196,379,674,270,344,814,401,52,16,7,22,23,1,2,0,1,0,4,2,0,0,1,0,433,846,396,548,0,0,0,0,0,0
SAMP_0038,4205,2123,4546,2169,1140,1080,1105,738,349,641,1807,785,351,193,255,759,262,268,131,435,141,326,299,520,32,8,4,3,14,9,3,2,0,0,1,5,0,1,2,0,1260,1351,826,709,0,0,0,0,0,0
SAMP_0039,0,0,0,0,0,0,0,0,0,0,84,368,228,10,39,23,2,157,614,149,1577,1151,0,7,2868,1160,734,1142,1101,548,239,191,160,80,172,301,52,231,429,28,801,704,487,497,0,0,0,0,0,0
SAMP_0040,261,82,412,144,11,9,57,38,4,14,6780,4548,3858,2471,2066,1727,1916,1629,1568,2575,870,1786,1181,1412,211,61,41,131,106,11,17,3,4,0,10,6,1,6,14,1,843,1031,1197,665,0,0,0,0,0,0
SAMP_0041,4545,3883,3555,2905,2186,1918,1637,2799,529,641,1673,1300,418,323,293,1730,491,237,216,516,165,216,411,482,41,8,9,16,8,3,0,2,3,0,1,2,0,3,11,0,1595,1050,1329,1335,0,0,0,0,0,0
SAMP_0042,16,21,43,23,2,5,13,5,2,3,1165,1382,1675,943,901,1257,884,1076,1395,1581,1367,1156,464,713,310,165,69,109,238,42,14,8,8,3,7,25,1,4,14,1,514,682,457,364,0,0,0,0,0,0
SAMP_0043,2013,2216,1560,1561,872,618,593,1150,313,731,787,289,181,76,88,272,107,71,64,163,49,56,199,69,21,3,1,5,3,1,0,0,0,0,0,1,0,0,0,0,626,635,425,628,0,60,0,0,0,0
SAMP_0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3157,2397,1519,995,2031,1394,1042,708,1172,1264,740,578,691,771,442,464,709,540,537,413,0,0,0,0,0,0
SAMP_0045,645,645,720,403,211,140,216,220,50,139,1584,1357,349,491,397,989,412,316,232,754,164,155,613,453,54,7,11,11,10,2,5,1,0,0,0,3,1,0,2,0,307,580,411,323,0,0,0,0,0,0
SAMP_0046,2,1,3,0,0,0,0,0,0,1,733,1516,2280,425,571,313,253,1620,1070,565,1933,1406,50,143,742,610,220,210,431,139,55,25,30,18,23,32,12,30,67,1,351,698,442,313,0,0,0,0,0,0
SAMP_0047,240,207,900,405,99,50,200,99,22,60,1759,1199,1127,673,414,1178,1047,677,522,1387,541,588,631,717,54,27,10,19,50,3,5,5,0,0,3,3,0,1,1,0,696,349,402,528,0,0,30,0,0,0
SAMP_0048,8,6,25,12,1,1,0,1,0,3,2876,1117,2108,960,1700,1384,1130,1649,991,1886,890,1495,295,552,441,138,76,180,172,30,17,18,11,3,24,32,1,6,25,1,524,476,426,415,0,0,0,0,0,0
SAMP_0049,2,5,4,0,0,0,1,0,0,0,1685,1377,1714,651,525,729,326,1024,890,677,1198,1281,158,476,560,185,96,193,227,55,50,12,15,8,29,29,4,18,35,2,345,525,362,390,0,53,0,0,0,0
SAMP_0050,2141,1783,1921,1408,526,316,813,601,132,231,1688,920,541,491,381,857,828,305,271,525,302,281,923,508,44,16,5,13,21,5,5,1,1,0,2,2,0,1,2,0,676,923,671,488,0,0,0,0,0,0
SAMP_0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1962,3023,2570,1782,3058,1096,1495,1318,1328,1439,981,1823,766,1739,794,962,698,844,443,696,0,0,0,0,0,0
SAMP_0052,0,0,0,0,0,0,0,0,0,0,2,61,26,0,2,0,0,35,103,4,354,398,0,0,2589,2290,1808,1272,2164,1789,1019,506,518,279,680,719,236,433,652,122,408,881,553,381,0,0,0,0,0,0
SAMP_0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,2662,1953,2253,2276,1415,1172,774,1379,1160,835,1093,943,1106,897,767,947,469,499,599,0,0,0,0,0,0
SAMP_0054,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,15,0,152,123,0,0,1516,1877,2108,1459,2077,1837,1118,1625,885,366,721,833,246,631,783,225,687,701,651,527,0,0,0,0,0,0
SAMP_0055,1,0,0,0,0,0,0,0,0,1,904,2444,2078,316,852,564,546,1329,2608,1832,3767,3136,52,373,1072,988,581,979,534,267,140,98,62,45,87,208,24,38,218,14,1038,1059,1113,587,0,0,0,0,0,0
SAMP_0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3228,5703,5159,3813,1895,3266,4005,2183,2231,3692,1355,2375,1638,2102,2870,895,1751,1478,1114,1484,0,0,0,0,0,0
SAMP_0057,2221,1503,1588,881,1299,393,774,643,313,441,695,369,163,110,74,478,169,89,76,210,79,51,165,134,6,3,6,4,6,3,1,2,0,0,0,0,0,0,1,0,693,677,334,532,0,0,0,0,0,0
SAMP_0058,1942,902,1529,1243,579,174,669,548,154,422,3558,976,567,682,641,1336,633,319,329,1444,228,347,974,662,49,15,9,20,31,6,4,3,1,0,3,0,1,1,2,0,942,870,803,422,0,0,0,0,0,0
SAMP_0059,1964,2817,1229,1496,1278,773,1034,1460,415,591,769,380,72,102,85,399,189,61,105,295,46,137,118,67,22,4,3,12,1,3,1,2,1,0,0,1,0,0,0,0,556,531,394,600,0,0,0,0,0,0
SAMP_0060,559,436,843,527,140,81,220,166,59,77,3288,1125,704,666,586,2171,1465,839,383,1408,642,366,1242,1149,55,30,4,42,43,6,4,2,1,0,1,6,0,3,7,1,1153,720,496,401,0,0,0,0,0,0
SAMP_0061,296,104,278,182,71,12,108,68,23,62,1773,1015,1331,893,518,1653,1188,666,297,908,544,570,618,850,70,47,17,62,29,8,3,3,1,1,2,9,1,5,7,0,495,618,243,527,32,0,0,0,0,0
SAMP_0062,514,256,748,359,72,71,179,97,39,96,1790,1039,968,619,656,1965,744,309,589,1238,282,419,557,660,69,13,11,25,35,5,5,2,2,2,4,1,0,0,6,2,567,433,529,450,0,0,0,0,0,0
SAMP_0063,0,0,0,0,0,0,0,0,0,0,8,87,24,0,6,2,0,64,132,10,612,557,0,0,4856,2795,1667,2724,3052,731,900,872,605,302,543,782,201,675,980,109,989,1396,674,719,0,0,0,0,0,0
SAMP_0064,481,308,521,505,80,44,114,107,20,103,3778,2347,1692,1633,1626,1913,2096,1269,1959,3197,779,1697,2144,1173,328,82,49,59,118,23,22,8,2,1,3,13,0,5,14,0,872,892,1035,874,0,0,0,0,0,0
SAMP_0065,884,556,486,578,299,218,422,123,71,160,1839,583,813,549,387,1270,571,334,234,736,225,210,924,373,34,14,8,20,14,4,3,1,3,1,1,3,0,4,4,0,921,497,463,497,0,0,0,0,0,0
SAMP_0066,24,8,31,6,3,1,2,0,0,1,1397,1318,1401,878,944,782,1062,743,731,708,1004,937,305,498,230,75,35,54,92,14,15,3,2,3,7,7,2,5,30,2,428,286,368,294,0,0,0,0,0,0
SAMP_0067,1028,837,959,499,463,348,531,586,146,170,952,373,144,117,308,398,186,89,80,494,49,169,224,207,8,14,3,6,9,0,0,1,0,0,1,1,0,0,1,0,730,433,387,325,0,0,0,0,0,0
SAMP_0068,0,0,0,0,0,0,0,0,0,0,6,104,29,0,3,1,0,100,149,6,384,441,0,1,1633,1022,1642,1172,1145,512,734,223,444,159,334,511,130,241,369,63,436,376,264,621,0,0,0,0,0,0
SAMP_0069,3656,3422,3307,3262,1386,913,1194,1671,981,941,1689,883,498,156,253,1580,445,186,176,466,169,191,328,374,29,20,9,16,15,11,3,2,1,1,0,2,0,0,1,0,1872,1727,1404,1820,0,0,0,0,0,0
SAMP_0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5051,4647,3152,3823,2064,2761,2185,2746,2439,2762,2313,1921,1689,1951,1867,2418,2000,1338,1000,1098,0,0,0,0,0,0
SAMP_0071,0,0,0,0,0,0,0,0,0,0,2,46,9,0,0,0,0,14,64,6,500,356,0,0,4376,4613,2738,4162,2794,2672,3094,1228,1369,1025,984,1762,508,983,1770,569,1851,1173,1050,1528,0,0,0,0,0,0
SAMP_0072,2570,1637,1091,1059,420,406,575,600,210,459,1876,1245,848,510,422,1556,815,420,490,802,347,213,1582,730,79,14,3,24,22,6,5,6,1,4,1,4,0,2,5,0,1909,777,1183,846,0,0,0,55,0,0
SAMP_0073,3895,3571,2429,1703,703,1429,994,1290,696,984,849,359,134,113,124,479,165,47,59,196,53,96,114,50,19,7,6,6,12,3,1,1,1,1,0,3,0,0,4,0,906,1219,677,964,0,0,0,0,0,163
SAMP_0074,0,0,0,0,0,0,0,0,0,0,6,139,47,1,7,3,0,116,166,14,1718,1098,0,0,3247,3752,2048,2202,2667,1536,786,723,540,369,744,914,184,643,758,236,998,1457,714,1583,0,0,0,0,0,0
SAMP_0075,0,0,0,0,0,0,0,0,0,0,298,894,635,61,144,70,31,1149,1187,410,1328,1830,2,40,2982,1179,806,1307,1060,375,295,157,138,105,134,290,36,51,277,14,940,742,619,434,0,0,0,0,0,0
SAMP_0076,0,0,1,0,0,0,0,0,0,0,118,481,526,16,61,18,5,546,428,109,1935,2006,0,9,3286,1383,2347,2706,2343,641,452,406,289,86,323,714,49,242,397,42,1614,1171,1091,826,0,0,0,0,0,0
SAMP_0077,0,0,0,0,0,0,0,0,0,0,72,243,329,23,39,21,7,263,336,103,1080,755,0,1,988,627,615,867,849,317,143,83,93,25,77,135,35,47,113,18,468,485,315,262,0,0,0,0,0,0
SAMP_0078,6017,8172,3794,4899,3993,2069,2642,3132,1534,1699,2343,852,321,350,631,1440,726,310,251,781,223,551,639,659,60,14,8,34,14,10,4,3,3,0,3,3,0,2,4,0,1705,1912,1913,1846,0,0,0,0,0,0
SAMP_0079,610,285,553,262,131,26,133,91,24,31,3793,2220,1293,988,731,972,1072,1131,533,1597,409,932,1273,1218,106,39,35,61,63,17,10,4,3,1,2,3,0,4,4,0,684,854,557,666,0,0,0,0,0,0
SAMP_0080,6655,2348,3446,2563,1755,962,2091,2136,656,1275,3466,888,495,334,349,2065,321,273,280,762,150,410,473,472,49,24,13,15,29,4,3,2,0,0,2,1,1,2,1,0,1878,1199,1160,911,0,0,0,0,0,0
SAMP_0081,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,3,38,0,110,131,0,0,1682,1248,1444,1457,1377,892,779,332,611,288,412,906,288,453,272,135,647,513,467,484,0,0,0,0,0,0
SAMP_0082,3,1,4,4,0,1,4,1,0,1,1903,1428,2765,695,681,601,377,2289,1606,1199,1380,2331,125,427,585,270,220,320,251,123,69,21,30,14,17,53,4,30,53,7,1044,890,831,627,0,0,0,0,0,0
SAMP_0083,788,287,594,491,117,75,157,81,31,97,2846,805,1174,1250,992,1830,1720,692,368,993,272,574,989,723,66,29,4,33,62,8,3,4,4,1,3,6,0,1,3,0,580,545,748,457,0,0,0,30,25,0
SAMP_0084,735,1150,1015,1045,502,488,704,429,342,301,719,202,75,63,109,327,71,132,70,118,39,108,130,97,8,4,0,7,7,2,1,0,0,0,2,0,0,0,1,0,527,470,316,203,0,0,0,0,0,33
SAMP_0085,682,538,1298,913,182,84,420,215,78,163,3400,1199,1740,1542,714,2052,607,665,320,1237,484,474,1264,737,106,29,17,53,24,9,9,1,4,0,0,3,0,4,10,0,597,658,421,490,0,0,0,0,0,0
SAMP_0086,1176,632,1486,923,352,179,585,355,66,151,1970,2637,1192,1022,754,1912,1322,583,497,1699,427,608,1459,750,125,37,14,38,39,5,5,1,2,1,3,12,0,0,7,0,1244,1064,725,674,0,0,0,0,0,0
SAMP_0087,0,0,0,0,0,0,0,1,0,0,114,939,582,15,153,70,11,457,1449,207,2833,4711,0,10,3923,3453,1748,3379,3513,1297,488,356,444,139,265,1140,36,323,921,70,1636,2737,1302,1212,0,0,0,0,0,0
SAMP_0088,2,1,2,3,0,0,0,0,0,0,1474,2271,2623,523,1024,470,436,2088,1470,1097,1665,3242,104,247,1833,567,320,591,646,145,93,42,40,22,60,127,10,28,99,8,622,1059,981,590,0,0,0,0,0,0
SAMP_0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1795,1709,2579,2505,1440,2067,1306,1083,1776,1012,1038,1214,589,962,361,670,529,595,500,579,0,0,0,0,0,0
SAMP_0090,26,7,51,22,6,1,15,2,1,4,2781,1338,923,1116,1122,632,769,1218,882,1296,611,1031,839,765,156,72,38,119,98,15,20,12,4,3,6,6,1,5,8,0,379,452,222,316,0,0,0,0,0,83
SAMP_0091,1476,1384,1103,784,724,513,652,598,200,349,1032,712,245,125,133,737,259,185,220,321,100,165,240,153,40,8,5,3,10,1,0,2,0,0,0,0,0,2,3,0,478,540,261,272,0,0,0,0,0,0
SAMP_0092,0,1,1,0,0,0,0,0,0,0,433,2088,909,113,263,142,47,1097,2252,412,2547,3770,3,45,3352,1045,2674,1298,2272,646,604,370,215,101,312,336,33,146,476,29,1450,1540,861,922,0,0,0,0,0,0
SAMP_0093,0,0,0,0,0,0,0,0,0,0,4,70,13,0,2,1,0,42,96,7,866,252,0,0,4356,3533,3052,2859,2706,2359,1459,1618,1285,502,1240,1546,340,1025,1796,219,1245,2726,1280,920,0,0,0,0,0,0
SAMP_0094,1,2,8,2,1,1,0,1,0,0,1797,3355,2629,624,1314,1029,897,1927,2535,1469,2441,2303,226,701,995,400,315,568,373,79,90,53,23,13,28,101,8,22,100,4,940,1019,830,491,0,0,0,27,0,0
SAMP_0095,0,0,0,0,0,0,0,0,0,0,38,363,334,9,55,24,4,342,315,90,1228,1018,0,1,1613,953,626,1538,1295,562,393,202,145,88,113,263,31,172,290,38,741,518,573,584,97,0,0,19,0,0
SAMP_0096,4,2,6,3,0,1,5,4,1,0,3018,1397,3496,765,1125,1173,678,1948,1688,1763,2201,1303,323,467,422,207,115,357,344,73,32,18,23,12,28,46,5,6,61,2,833,688,503,737,0,0,0,0,0,0
SAMP_0097,6,4,13,10,0,2,0,3,1,0,1179,562,1340,673,706,652,436,1218,592,909,457,1014,204,407,220,77,47,106,82,17,15,7,3,3,5,16,4,5,7,1,226,382,241,288,0,0,0,0,0,0
SAMP_0098,415,155,611,378,54,24,97,87,10,48,4899,3602,3168,2651,1227,3447,1790,1740,1115,2384,1493,1857,2500,1264,167,70,27,109,88,20,7,5,5,1,6,8,1,0,41,2,794,1133,1013,819,0,0,0,0,0,0
SAMP_0099,1379,957,1264,939,983,368,996,908,338,598,471,131,111,69,37,353,96,56,65,85,28,53,120,57,11,8,2,4,4,0,1,0,0,0,0,1,0,0,0,1,260,630,490,404,0,0,0,0,0,0
SAMP_0100,1340,1413,1620,891,540,626,695,482,248,258,834,545,233,222,147,415,212,174,118,251,92,124,310,123,26,10,5,19,6,3,1,1,0,0,1,1,0,1,2,0,590,871,501,477,127,0,0,0,0,0
SAMP_0101,7401,4398,5572,2742,2757,1818,1628,1740,829,1819,1509,801,226,113,194,862,258,157,113,499,90,207,250,269,47,11,2,9,23,3,2,0,3,0,1,2,0,0,2,0,1606,1812,1994,1599,0,0,0,0,0,0
SAMP_0102,3,1,1,2,0,0,1,1,1,0,1883,2953,2288,451,998,561,696,3295,2076,2077,1468,1965,77,584,1082,285,269,528,497,172,117,67,31,22,45,94,12,40,112,5,384,850,423,504,0,0,0,0,0,0
SAMP_0103,408,237,895,236,153,83,189,106,28,90,2102,1334,1308,744,493,1226,734,488,195,778,208,463,453,683,58,15,9,25,24,2,7,5,2,1,2,2,2,3,1,0,718,812,417,247,0,0,0,0,0,0
SAMP_0104,16,4,30,18,2,0,5,4,0,1,2440,1546,2659,1307,1478,828,917,1367,868,1129,942,816,311,451,174,85,70,213,212,21,29,4,12,2,12,19,2,2,25,1,835,666,451,331,0,0,0,0,0,0
SAMP_0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6920,2819,3261,3245,5695,3786,5176,3065,4584,3504,1668,2773,2067,3281,1941,1884,2184,1285,922,1148,0,0,0,0,0,0
SAMP_0106,1086,727,1220,1352,233,130,468,380,115,284,2816,1106,821,834,407,1188,881,531,505,695,319,505,800,799,32,9,13,23,29,2,1,0,0,0,3,6,0,2,7,0,750,1206,534,536,0,0,0,0,0,0
SAMP_0107,66,62,329,125,18,29,35,29,8,23,2225,1092,845,739,674,1685,929,940,808,784,475,646,878,715,91,42,18,41,39,11,8,7,6,2,5,9,1,4,8,3,493,477,344,384,0,0,0,0,0,0
SAMP_0108,0,0,0,0,0,0,0,0,0,0,2,26,17,0,0,0,0,11,51,1,343,158,0,0,1723,2293,985,760,1757,1016,679,333,446,257,190,605,111,575,259,106,495,395,507,549,0,0,0,0,0,21
SAMP_0109,1178,1418,1330,1097,972,236,546,418,172,288,2304,1307,768,385,594,2022,451,402,288,1351,199,292,914,557,58,26,18,24,34,4,3,2,1,1,2,4,0,4,1,0,581,571,618,895,0,0,0,0,0,0
