sample_id,true_pmi_days,ambient_temp_c,humidity_pct,accumulated_degree_days,sample_site,decomposition_stage
SAMP_0048,7.34,25.2,77.0,185.0,skin_surface,Active Decay
SAMP_0049,7.91,25.9,79.1,204.93,skin_surface,Active Decay
SAMP_0050,2.04,22.0,59.9,44.97,oral_cavity,Bloat
SAMP_0051,30.0,16.3,59.2,489.0,skin_surface,Advanced Decay
SAMP_0052,14.92,25.9,72.9,386.49,soil_interface,Advanced Decay
SAMP_0053,28.05,20.9,44.7,586.26,oral_cavity,Advanced Decay
SAMP_0054,22.52,16.4,76.8,369.35,skin_surface,Advanced Decay
SAMP_0055,9.11,27.4,42.1,249.63,oral_cavity,Active Decay
SAMP_0056,25.49,30.4,49.5,775.03,skin_surface,Dry Remains
SAMP_0057,0.93,21.8,73.2,20.2,oral_cavity,Fresh
SAMP_0058,2.18,30.6,44.9,66.75,skin_surface,Bloat
SAMP_0059,0.46,22.4,88.6,10.37,oral_cavity,Fresh
SAMP_0060,3.94,20.5,83.4,80.67,oral_cavity,Bloat
SAMP_0061,4.92,19.5,71.3,95.97,skin_surface,Bloat
SAMP_0062,3.17,28.5,81.0,90.22,skin_surface,Bloat
SAMP_0063,17.65,18.9,84.4,333.5,soil_interface,Active Decay
SAMP_0064,4.41,24.9,53.0,109.87,skin_surface,Bloat
SAMP_0065,3.3,19.8,82.5,65.3,skin_surface,Bloat
SAMP_0066,7.82,20.2,49.7,158.05,skin_surface,Active Decay
SAMP_0067,1.52,26.1,60.7,39.65,oral_cavity,Bloat
SAMP_0068,16.2,20.5,67.9,332.2,oral_cavity,Active Decay
SAMP_0069,0.77,20.4,75.7,15.81,oral_cavity,Fresh
SAMP_0070,30.0,26.5,41.5,795.0,oral_cavity,Dry Remains
SAMP_0071,14.79,28.4,54.5,420.17,oral_cavity,Advanced Decay
SAMP_0072,2.22,24.6,70.4,54.5,soil_interface,Bloat
SAMP_0073,0.1,19.4,57.9,1.94,soil_interface,Fresh
SAMP_0074,16.9,20.0,78.8,337.98,soil_interface,Active Decay
SAMP_0075,12.27,22.3,72.6,273.64,soil_interface,Active Decay
SAMP_0076,13.06,23.3,51.7,304.22,skin_surface,Active Decay
SAMP_0077,14.75,18.0,47.3,265.54,oral_cavity,Active Decay
SAMP_0078,0.77,24.9,71.5,19.16,skin_surface,Fresh
SAMP_0079,4.44,22.3,62.5,98.99,soil_interface,Bloat
SAMP_0080,1.23,15.1,48.4,18.6,skin_surface,Fresh
SAMP_0081,19.89,18.3,56.3,363.9,skin_surface,Advanced Decay
SAMP_0082,9.76,20.0,55.2,195.26,oral_cavity,Active Decay
SAMP_0083,4.02,21.7,45.4,87.19,skin_surface,Bloat
SAMP_0084,0.66,29.6,67.3,19.44,oral_cavity,Fresh
SAMP_0085,3.72,23.0,78.2,85.67,oral_cavity,Bloat
SAMP_0086,3.93,18.6,68.8,73.16,soil_interface,Bloat
SAMP_0087,13.08,22.9,81.3,299.5,oral_cavity,Active Decay
SAMP_0088,10.15,20.6,46.4,209.07,soil_interface,Active Decay
SAMP_0089,21.82,23.3,61.8,508.46,oral_cavity,Advanced Decay
SAMP_0090,6.39,24.3,70.5,155.29,soil_interface,Active Decay
SAMP_0091,1.27,26.8,73.8,34.14,skin_surface,Fresh
SAMP_0092,12.49,21.9,74.8,273.56,skin_surface,Active Decay
SAMP_0093,14.3,28.6,76.4,409.09,oral_cavity,Advanced Decay
SAMP_0094,8.24,25.6,72.6,210.92,skin_surface,Active Decay
SAMP_0095,14.74,19.2,44.7,282.99,soil_interface,Active Decay
SAMP_0096,6.81,30.8,74.8,209.69,oral_cavity,Active Decay
SAMP_0097,7.4,23.3,76.2,172.35,oral_cavity,Active Decay
SAMP_0098,5.58,18.7,89.7,104.31,oral_cavity,Bloat
SAMP_0099,0.26,28.6,74.7,7.36,oral_cavity,Fresh
SAMP_0100,1.14,30.3,74.3,34.59,oral_cavity,Fresh
SAMP_0101,0.32,21.9,65.7,6.99,skin_surface,Fresh
SAMP_0102,10.12,20.0,83.4,202.35,oral_cavity,Active Decay
SAMP_0103,3.77,21.3,89.8,80.39,skin_surface,Bloat
SAMP_0104,7.1,24.9,79.0,176.9,soil_interface,Active Decay
SAMP_0105,23.81,27.1,70.6,645.32,skin_surface,Dry Remains
SAMP_0106,2.87,24.3,43.9,69.68,oral_cavity,Bloat
SAMP_0107,5.28,22.4,76.3,118.34,skin_surface,Bloat
SAMP_0108,14.09,28.0,75.4,394.45,oral_cavity,Advanced Decay
SAMP_0109,2.6,20.7,78.8,53.78,oral_cavity,Bloat
SAMP_0110,0.8,26.1,46.2,20.91,oral_cavity,Fresh
SAMP_0111,3.42,20.8,72.7,71.17,soil_interface,Bloat
SAMP_0112,1.76,23.7,54.8,41.67,skin_surface,Bloat
SAMP_0113,26.55,21.5,78.0,570.81,oral_cavity,Advanced Decay
SAMP_0114,16.51,21.8,52.0,359.89,skin_surface,Advanced Decay
SAMP_0115,10.03,20.5,74.2,205.72,oral_cavity,Active Decay
SAMP_0116,20.52,27.4,54.7,562.12,soil_interface,Advanced Decay
SAMP_0117,16.28,19.1,40.4,310.94,soil_interface,Active Decay
SAMP_0118,2.06,19.0,71.7,39.23,oral_cavity,Bloat
SAMP_0119,22.31,30.5,45.7,680.4,oral_cavity,Dry Remains
SAMP_0120,7.75,25.9,73.0,200.75,skin_surface,Active Decay
SAMP_0121,16.47,12.5,86.3,205.92,skin_surface,Active Decay
SAMP_0122,22.64,19.7,88.5,446.06,oral_cavity,Advanced Decay
SAMP_0123,3.83,14.8,51.8,56.64,skin_surface,Bloat
SAMP_0124,1.17,18.2,80.5,21.22,oral_cavity,Fresh
SAMP_0125,2.59,12.0,57.7,31.04,skin_surface,Fresh
SAMP_0126,5.57,21.5,85.0,119.77,oral_cavity,Bloat
SAMP_0127,17.04,17.4,79.4,296.47,skin_surface,Active Decay
SAMP_0128,19.71,22.2,43.7,437.64,skin_surface,Advanced Decay
SAMP_0129,0.1,15.5,60.4,1.55,skin_surface,Fresh
SAMP_0130,7.15,22.3,56.9,159.42,skin_surface,Active Decay
SAMP_0131,5.4,20.3,79.3,109.68,skin_surface,Bloat
SAMP_0132,2.51,28.0,60.5,70.33,oral_cavity,Bloat
SAMP_0133,1.28,27.6,74.2,35.24,oral_cavity,Bloat
SAMP_0134,4.12,25.1,70.1,103.39,oral_cavity,Bloat
SAMP_0135,28.63,20.7,88.8,592.67,oral_cavity,Advanced Decay
SAMP_0136,3.9,29.9,86.9,116.72,skin_surface,Bloat
SAMP_0137,7.31,15.8,61.4,115.57,oral_cavity,Bloat
SAMP_0138,12.14,16.4,76.2,199.11,oral_cavity,Active Decay
SAMP_0139,4.52,21.7,81.5,98.08,soil_interface,Bloat
SAMP_0140,30.0,31.0,84.9,930.0,skin_surface,Dry Remains
SAMP_0141,30.0,21.2,43.4,636.0,skin_surface,Dry Remains
SAMP_0142,2.9,21.3,55.1,61.78,oral_cavity,Bloat
SAMP_0143,6.88,16.2,56.0,111.4,oral_cavity,Bloat
SAMP_0144,3.58,25.8,61.7,92.35,skin_surface,Bloat
SAMP_0145,3.35,25.8,48.5,86.49,soil_interface,Bloat
SAMP_0146,0.38,25.2,64.8,9.47,oral_cavity,Fresh
SAMP_0147,9.4,19.5,73.2,183.4,skin_surface,Active Decay
SAMP_0148,6.99,19.2,64.9,134.12,soil_interface,Bloat
SAMP_0149,0.53,16.8,73.3,8.88,skin_surface,Fresh
SAMP_0150,3.27,22.3,43.3,72.84,skin_surface,Bloat
SAMP_0151,23.89,17.7,83.8,422.83,skin_surface,Advanced Decay
SAMP_0152,2.74,17.3,87.0,47.38,soil_interface,Bloat
SAMP_0153,1.57,20.3,70.9,31.78,skin_surface,Fresh
SAMP_0154,6.72,20.0,84.1,134.45,soil_interface,Bloat
SAMP_0155,30.0,19.8,46.6,594.0,skin_surface,Advanced Decay
SAMP_0156,2.77,23.9,79.9,66.24,soil_interface,Bloat
SAMP_0157,11.15,22.3,46.0,248.68,soil_interface,Active Decay
SAMP_0158,14.34,20.8,60.4,298.25,skin_surface,Active Decay
SAMP_0159,2.71,22.7,56.2,61.59,skin_surface,Bloat
SAMP_0160,13.03,18.0,69.3,234.49,skin_surface,Active Decay
SAMP_0161,4.59,22.4,55.1,102.71,skin_surface,Bloat
SAMP_0162,10.01,22.6,71.9,226.11,soil_interface,Active Decay
SAMP_0163,10.04,16.0,58.4,160.61,oral_cavity,Active Decay
SAMP_0164,7.67,26.0,83.0,199.52,skin_surface,Active Decay
SAMP_0165,0.95,18.5,71.7,17.51,skin_surface,Fresh
SAMP_0166,18.04,22.4,50.8,404.02,skin_surface,Advanced Decay
SAMP_0167,3.87,26.7,56.8,103.28,skin_surface,Bloat
SAMP_0168,2.06,25.7,82.4,53.05,oral_cavity,Bloat
SAMP_0169,0.42,22.1,59.3,9.2,skin_surface,Fresh
SAMP_0170,8.94,20.6,66.8,184.12,soil_interface,Active Decay
SAMP_0171,11.32,25.8,72.4,292.02,soil_interface,Active Decay
SAMP_0172,0.17,24.7,57.4,4.13,oral_cavity,Fresh
SAMP_0173,7.18,19.5,54.7,139.94,skin_surface,Bloat
SAMP_0174,2.57,18.8,63.8,48.28,soil_interface,Bloat
SAMP_0175,10.36,13.7,50.7,141.95,skin_surface,Bloat
SAMP_0176,1.92,22.6,54.2,43.3,skin_surface,Bloat
SAMP_0177,11.74,21.7,43.1,254.8,oral_cavity,Active Decay
SAMP_0178,4.89,26.5,55.2,129.57,skin_surface,Bloat
SAMP_0179,27.6,23.4,56.0,645.92,skin_surface,Dry Remains
SAMP_0180,1.48,27.3,88.1,40.39,skin_surface,Bloat
SAMP_0181,4.17,19.2,69.5,80.09,skin_surface,Bloat
SAMP_0182,1.2,26.6,79.4,32.04,skin_surface,Fresh
SAMP_0183,25.86,19.9,42.3,514.65,soil_interface,Advanced Decay
SAMP_0184,20.98,25.1,45.3,526.68,skin_surface,Advanced Decay
SAMP_0185,2.98,16.2,80.7,48.33,skin_surface,Bloat
SAMP_0186,10.79,22.9,71.2,247.04,soil_interface,Active Decay
SAMP_0187,16.99,14.1,49.5,239.63,soil_interface,Active Decay
SAMP_0188,8.1,20.9,60.2,169.32,soil_interface,Active Decay
SAMP_0189,7.54,23.8,66.9,179.52,skin_surface,Active Decay
SAMP_0190,2.77,19.9,82.2,55.1,skin_surface,Bloat
SAMP_0191,0.98,17.8,43.0,17.4,oral_cavity,Fresh
SAMP_0192,22.75,25.4,69.8,577.88,oral_cavity,Advanced Decay
SAMP_0193,23.07,21.6,75.9,498.26,skin_surface,Advanced Decay
SAMP_0194,10.03,20.0,88.9,200.53,skin_surface,Active Decay
SAMP_0195,4.14,22.2,80.4,91.92,oral_cavity,Bloat
SAMP_0196,4.3,32.0,53.8,137.46,soil_interface,Bloat
SAMP_0197,12.94,26.6,75.5,344.33,skin_surface,Active Decay
SAMP_0198,22.74,26.7,78.2,607.18,skin_surface,Dry Remains
SAMP_0199,21.81,23.7,76.5,516.93,skin_surface,Advanced Decay
SAMP_0200,15.14,22.7,81.0,343.58,oral_cavity,Active Decay
SAMP_0201,10.27,12.4,85.2,127.39,soil_interface,Bloat
SAMP_0202,0.88,19.3,44.9,16.96,oral_cavity,Fresh
SAMP_0203,1.76,20.1,45.2,35.44,skin_surface,Bloat
SAMP_0204,22.88,14.5,79.8,331.79,skin_surface,Active Decay
SAMP_0205,9.32,17.4,52.6,162.25,skin_surface,Active Decay
SAMP_0206,0.1,14.1,42.9,1.41,skin_surface,Fresh
SAMP_0207,1.07,21.8,60.1,23.33,oral_cavity,Fresh
SAMP_0208,10.89,25.3,81.0,275.56,oral_cavity,Active Decay
SAMP_0209,0.1,26.4,46.3,2.64,skin_surface,Fresh
SAMP_0210,1.75,23.7,73.6,41.55,skin_surface,Bloat
SAMP_0211,7.96,18.1,40.2,144.02,skin_surface,Bloat
SAMP_0212,11.77,14.3,45.5,168.36,oral_cavity,Active Decay
SAMP_0213,10.55,15.0,57.5,158.32,oral_cavity,Active Decay
SAMP_0214,2.54,16.9,44.2,42.92,skin_surface,Bloat
SAMP_0215,12.45,18.4,82.3,229.16,skin_surface,Active Decay
SAMP_0216,2.71,21.4,83.2,57.96,oral_cavity,Bloat
SAMP_0217,3.94,17.9,77.8,70.46,skin_surface,Bloat
SAMP_0218,13.72,23.4,52.1,321.13,oral_cavity,Active Decay
SAMP_0219,10.49,21.1,66.2,221.29,skin_surface,Active Decay
SAMP_0220,18.92,22.0,49.2,416.23,oral_cavity,Advanced Decay
SAMP_0221,10.72,26.6,54.1,285.1,soil_interface,Active Decay
SAMP_0222,8.4,17.3,65.8,145.33,oral_cavity,Bloat
SAMP_0223,0.98,23.7,76.8,23.31,skin_surface,Fresh
SAMP_0224,4.58,21.9,44.7,100.39,soil_interface,Bloat
SAMP_0225,3.08,20.7,54.8,63.79,oral_cavity,Bloat
SAMP_0226,2.8,25.5,86.3,71.32,skin_surface,Bloat
SAMP_0227,30.0,25.5,61.5,765.0,oral_cavity,Dry Remains
SAMP_0228,4.99,18.2,86.9,90.89,oral_cavity,Bloat
SAMP_0229,22.26,21.3,89.6,474.15,skin_surface,Advanced Decay
SAMP_0230,9.97,23.1,66.3,230.38,soil_interface,Active Decay
SAMP_0231,15.84,20.9,54.4,331.02,skin_surface,Active Decay
SAMP_0232,6.98,24.3,79.5,169.72,skin_surface,Active Decay
SAMP_0233,8.6,23.1,48.0,198.7,skin_surface,Active Decay
SAMP_0234,6.78,29.3,52.6,198.74,skin_surface,Active Decay
SAMP_0235,2.17,15.9,79.2,34.54,skin_surface,Fresh
SAMP_0236,12.82,21.5,61.7,275.58,oral_cavity,Active Decay
SAMP_0237,3.3,18.4,50.1,60.64,oral_cavity,Bloat
SAMP_0238,0.25,24.4,72.6,6.01,skin_surface,Fresh
SAMP_0239,10.37,15.5,76.6,160.73,soil_interface,Active Decay
SAMP_0240,1.95,23.4,46.3,45.61,oral_cavity,Bloat
SAMP_0241,28.21,19.5,53.8,550.11,skin_surface,Advanced Decay
SAMP_0242,30.0,19.1,51.1,573.0,oral_cavity,Advanced Decay
SAMP_0243,24.64,16.2,59.0,399.09,oral_cavity,Advanced Decay
SAMP_0244,4.62,20.1,78.2,92.92,skin_surface,Bloat
SAMP_0245,0.16,26.3,75.7,4.1,skin_surface,Fresh
SAMP_0246,26.36,21.9,73.1,577.18,skin_surface,Advanced Decay
SAMP_0247,5.59,24.5,40.3,136.94,oral_cavity,Bloat
SAMP_0248,30.0,28.7,47.1,861.0,soil_interface,Dry Remains
SAMP_0249,30.0,23.1,51.2,693.0,oral_cavity,Dry Remains
SAMP_0250,19.17,19.8,53.6,379.64,skin_surface,Advanced Decay
SAMP_0251,3.49,23.9,47.3,83.36,skin_surface,Bloat
SAMP_0252,4.86,19.8,60.5,96.29,skin_surface,Bloat
SAMP_0253,19.05,20.0,43.8,380.95,soil_interface,Advanced Decay
SAMP_0254,3.81,15.9,77.5,60.6,skin_surface,Bloat
SAMP_0255,1.86,25.7,79.4,47.73,oral_cavity,Bloat
SAMP_0256,8.14,20.5,68.7,166.82,oral_cavity,Active Decay
SAMP_0257,27.51,22.7,44.5,624.54,oral_cavity,Dry Remains
SAMP_0258,11.91,17.9,84.5,213.16,oral_cavity,Active Decay
SAMP_0259,8.44,23.7,88.3,200.05,soil_interface,Active Decay
SAMP_0260,1.02,19.0,50.1,19.42,oral_cavity,Fresh
SAMP_0261,9.55,21.4,75.2,204.27,skin_surface,Active Decay
SAMP_0262,30.0,25.5,82.1,765.0,skin_surface,Dry Remains
SAMP_0263,1.51,25.2,67.0,38.03,soil_interface,Bloat
SAMP_0264,7.3,21.9,56.2,159.98,skin_surface,Active Decay
SAMP_0265,20.99,14.9,63.9,312.69,skin_surface,Active Decay
SAMP_0266,13.5,32.0,65.6,432.01,oral_cavity,Advanced Decay
SAMP_0267,11.94,29.0,60.0,346.28,skin_surface,Active Decay
SAMP_0268,12.12,24.9,86.5,301.86,oral_cavity,Active Decay
SAMP_0269,4.45,19.0,77.2,84.64,soil_interface,Bloat
SAMP_0270,3.48,21.5,52.1,74.73,oral_cavity,Bloat
SAMP_0271,16.57,19.8,69.3,328.16,oral_cavity,Active Decay
SAMP_0272,16.61,27.1,74.4,450.22,skin_surface,Advanced Decay
SAMP_0273,20.18,23.1,47.0,466.15,skin_surface,Advanced Decay
SAMP_0274,24.45,18.9,57.9,462.03,skin_surface,Advanced Decay
SAMP_0275,7.16,20.1,85.3,143.93,oral_cavity,Bloat
SAMP_0276,6.96,26.5,68.4,184.49,oral_cavity,Active Decay
SAMP_0277,16.01,28.4,50.8,454.67,oral_cavity,Advanced Decay
SAMP_0278,10.5,28.1,46.1,294.97,skin_surface,Active Decay
SAMP_0279,12.11,25.0,65.9,302.64,skin_surface,Active Decay
SAMP_0280,15.89,21.0,67.4,333.61,skin_surface,Active Decay
SAMP_0281,22.07,12.0,56.7,264.88,skin_surface,Active Decay
SAMP_0282,4.12,23.2,71.5,95.7,skin_surface,Bloat
SAMP_0283,4.71,22.0,43.4,103.61,soil_interface,Bloat
SAMP_0284,0.99,22.6,47.3,22.31,oral_cavity,Fresh
SAMP_0285,8.63,22.2,67.3,191.68,skin_surface,Active Decay
SAMP_0286,0.37,16.7,43.1,6.11,skin_surface,Fresh
SAMP_0287,6.27,24.2,84.0,151.64,oral_cavity,Active Decay
SAMP_0288,7.82,24.5,47.1,191.66,skin_surface,Active Decay
SAMP_0289,3.38,24.7,73.7,83.39,oral_cavity,Bloat
SAMP_0290,8.94,25.8,59.6,230.56,oral_cavity,Active Decay
SAMP_0291,0.31,24.4,60.0,7.56,skin_surface,Fresh
SAMP_0292,0.38,20.4,78.2,7.76,oral_cavity,Fresh
SAMP_0293,17.29,21.7,65.0,375.27,oral_cavity,Advanced Decay
SAMP_0294,4.47,22.4,76.3,100.04,skin_surface,Bloat
SAMP_0295,1.36,22.4,65.3,30.44,skin_surface,Fresh
SAMP_0296,7.39,26.0,69.6,192.05,oral_cavity,Active Decay
SAMP_0297,14.7,24.6,78.0,361.53,oral_cavity,Advanced Decay
SAMP_0298,2.43,30.3,70.4,73.66,skin_surface,Bloat
SAMP_0299,9.75,30.8,70.8,300.37,skin_surface,Active Decay
SAMP_0300,0.89,22.3,79.5,19.89,soil_interface,Fresh
SAMP_0301,0.53,12.0,87.5,6.37,oral_cavity,Fresh
SAMP_0302,7.58,26.9,58.8,203.88,oral_cavity,Active Decay
SAMP_0303,7.78,19.8,68.9,154.03,oral_cavity,Active Decay
SAMP_0304,10.15,18.8,44.3,190.73,skin_surface,Active Decay
SAMP_0305,12.95,20.4,57.9,264.17,skin_surface,Active Decay
SAMP_0306,30.0,20.2,60.6,606.0,skin_surface,Dry Remains
SAMP_0307,7.26,24.4,81.8,177.22,skin_surface,Active Decay
SAMP_0308,3.9,15.8,65.7,61.62,skin_surface,Bloat
SAMP_0309,15.86,17.7,76.6,280.66,soil_interface,Active Decay
SAMP_0310,3.16,23.4,41.0,73.91,oral_cavity,Bloat
SAMP_0311,5.78,24.5,63.2,141.61,oral_cavity,Bloat
SAMP_0312,0.82,24.6,85.1,20.1,oral_cavity,Fresh
SAMP_0313,0.26,18.9,51.2,4.85,oral_cavity,Fresh
SAMP_0314,30.0,18.1,41.6,543.0,soil_interface,Advanced Decay
SAMP_0315,18.08,20.0,61.7,361.55,oral_cavity,Advanced Decay
SAMP_0316,11.91,23.0,75.2,273.85,skin_surface,Active Decay
SAMP_0317,5.26,27.9,62.7,146.71,oral_cavity,Bloat
SAMP_0318,1.9,13.8,63.0,26.26,oral_cavity,Fresh
SAMP_0319,1.7,21.1,73.5,35.9,oral_cavity,Bloat
SAMP_0320,2.88,16.7,52.7,48.1,oral_cavity,Bloat
SAMP_0321,7.97,15.4,77.6,122.71,skin_surface,Bloat
SAMP_0322,12.54,25.9,47.7,324.75,soil_interface,Active Decay
SAMP_0323,10.79,24.2,59.8,261.21,skin_surface,Active Decay
SAMP_0324,3.28,23.8,72.8,78.16,skin_surface,Bloat
SAMP_0325,30.0,25.7,81.4,771.0,oral_cavity,Dry Remains
SAMP_0326,13.39,20.1,79.6,269.14,soil_interface,Active Decay
SAMP_0327,8.08,20.3,76.1,164.07,oral_cavity,Active Decay
SAMP_0328,9.46,30.7,58.0,290.43,soil_interface,Active Decay
SAMP_0329,5.44,21.0,46.1,114.25,skin_surface,Bloat
SAMP_0330,2.85,24.9,50.8,70.88,oral_cavity,Bloat
SAMP_0331,4.4,22.0,83.2,96.8,skin_surface,Bloat
SAMP_0332,14.18,14.6,82.9,207.05,soil_interface,Active Decay
SAMP_0333,0.14,13.8,87.6,2.0,oral_cavity,Fresh
SAMP_0334,1.23,19.7,43.8,24.31,oral_cavity,Fresh
SAMP_0335,0.47,26.2,66.8,12.34,oral_cavity,Fresh
SAMP_0336,0.42,25.2,72.4,10.48,skin_surface,Fresh
SAMP_0337,19.34,25.7,75.5,497.09,oral_cavity,Advanced Decay
SAMP_0338,12.16,18.1,72.2,220.14,skin_surface,Active Decay
SAMP_0339,6.43,28.5,78.5,183.19,soil_interface,Active Decay
SAMP_0340,1.03,18.1,58.0,18.64,soil_interface,Fresh
SAMP_0341,6.77,22.9,49.0,154.92,oral_cavity,Active Decay
SAMP_0342,6.41,22.0,50.2,141.12,skin_surface,Bloat
SAMP_0343,1.9,21.3,40.6,40.51,oral_cavity,Bloat
SAMP_0344,5.69,27.4,57.5,155.88,skin_surface,Active Decay
SAMP_0345,5.08,19.2,44.6,97.6,soil_interface,Bloat
SAMP_0346,9.57,16.6,56.1,158.82,skin_surface,Active Decay
SAMP_0347,10.08,22.1,71.4,222.79,soil_interface,Active Decay
SAMP_0348,0.46,20.4,84.7,9.46,soil_interface,Fresh
SAMP_0349,4.69,32.0,82.0,150.2,oral_cavity,Active Decay
SAMP_0350,9.83,24.7,52.6,242.83,skin_surface,Active Decay
SAMP_0351,6.99,20.4,46.7,142.69,oral_cavity,Bloat
SAMP_0352,19.41,17.8,49.7,345.56,oral_cavity,Active Decay
SAMP_0353,10.75,14.5,88.5,155.87,oral_cavity,Active Decay
SAMP_0354,1.78,17.9,67.5,31.84,soil_interface,Fresh
SAMP_0355,0.73,22.5,49.1,16.47,skin_surface,Fresh
SAMP_0356,10.28,27.7,82.0,284.87,skin_surface,Active Decay
SAMP_0357,0.27,26.5,59.8,7.12,skin_surface,Fresh
SAMP_0358,8.81,22.9,85.0,201.83,skin_surface,Active Decay
SAMP_0359,28.17,20.7,53.0,583.17,skin_surface,Advanced Decay
SAMP_0360,8.57,23.1,59.7,197.92,oral_cavity,Active Decay
SAMP_0361,4.91,19.9,65.2,97.77,skin_surface,Bloat
SAMP_0362,10.31,28.9,84.6,297.91,skin_surface,Active Decay
SAMP_0363,6.13,21.2,83.4,129.95,skin_surface,Bloat
SAMP_0364,7.89,21.7,68.7,171.17,oral_cavity,Active Decay
SAMP_0365,28.38,13.1,51.1,371.79,oral_cavity,Advanced Decay
SAMP_0366,4.88,21.2,60.2,103.44,soil_interface,Bloat
SAMP_0367,30.0,25.3,88.8,759.0,oral_cavity,Dry Remains
SAMP_0368,23.58,17.7,70.4,417.29,skin_surface,Advanced Decay
SAMP_0369,2.18,19.0,79.1,41.4,oral_cavity,Bloat
SAMP_0370,0.72,25.2,62.5,18.11,oral_cavity,Fresh
SAMP_0371,1.06,16.1,66.6,17.1,oral_cavity,Fresh
SAMP_0372,0.18,26.2,61.4,4.82,skin_surface,Fresh
SAMP_0373,0.99,19.9,75.1,19.74,soil_interface,Fresh
SAMP_0374,11.49,20.4,82.6,234.37,oral_cavity,Active Decay
SAMP_0375,0.74,17.5,65.4,12.92,oral_cavity,Fresh
SAMP_0376,3.84,23.5,64.0,90.28,skin_surface,Bloat
SAMP_0377,18.64,31.8,57.0,592.6,oral_cavity,Advanced Decay
SAMP_0378,0.24,25.1,48.9,5.91,soil_interface,Fresh
SAMP_0379,16.85,18.5,87.0,311.64,oral_cavity,Active Decay
SAMP_0380,3.31,26.5,55.8,87.74,skin_surface,Bloat
SAMP_0381,1.26,20.7,80.0,26.03,skin_surface,Fresh
SAMP_0382,11.93,27.5,75.8,328.12,skin_surface,Active Decay
SAMP_0383,9.91,25.2,79.5,249.83,skin_surface,Active Decay
